,key,max_ADHD,max_PTSD,max_anxiety,max_bipolar,max_depression,max_mental hospital,max_psychiatrists near me,max_psychologist near me,max_therapist near me,mean_ADHD,mean_PTSD,mean_anxiety,mean_bipolar,mean_depression,mean_mental hospital,mean_psychiatrists near me,mean_psychologist near me,mean_therapist near me,median_ADHD,median_PTSD,median_anxiety,median_bipolar,median_depression,median_mental hospital,median_psychiatrists near me,median_psychologist near me,median_therapist near me,min_ADHD,min_PTSD,min_anxiety,min_bipolar,min_depression,min_mental hospital,min_psychiatrists near me,min_psychologist near me,min_therapist near me
576,US-WI_2013,24.0,10.0,57.0,24.0,77.0,58.0,0.0,0.0,17.0,21.0,9.083333333333334,51.75,20.666666666666668,63.166666666666664,44.25,0.0,0.0,1.4166666666666667,22.0,9.0,51.5,21.0,66.5,45.5,0.0,0.0,0.0,16.0,7.0,46.0,18.0,48.0,29.0,0.0,0.0,0.0
577,US-WI_2014,26.0,13.0,63.0,26.0,82.0,62.0,0.0,0.0,12.0,21.916666666666668,10.416666666666666,56.166666666666664,21.916666666666668,69.08333333333333,44.833333333333336,0.0,0.0,1.0,21.5,10.5,55.0,22.0,71.0,44.5,0.0,0.0,0.0,19.0,7.0,53.0,19.0,52.0,29.0,0.0,0.0,0.0
578,US-WI_2015,25.0,15.0,72.0,25.0,86.0,61.0,0.0,0.0,17.0,21.75,12.166666666666666,66.91666666666667,21.25,75.33333333333333,47.333333333333336,0.0,0.0,2.3333333333333335,22.5,12.5,67.5,22.5,80.5,46.5,0.0,0.0,0.0,17.0,8.0,58.0,18.0,55.0,39.0,0.0,0.0,0.0
579,US-WI_2016,26.0,16.0,79.0,25.0,90.0,58.0,0.0,10.0,19.0,21.25,13.083333333333334,72.66666666666667,20.5,73.16666666666667,46.916666666666664,0.0,0.8333333333333334,6.583333333333333,21.0,13.0,73.5,21.0,76.0,47.0,0.0,0.0,5.0,16.0,10.0,65.0,17.0,50.0,34.0,0.0,0.0,0.0
580,US-WI_2017,26.0,15.0,87.0,24.0,85.0,62.0,0.0,9.0,27.0,22.25,12.5,78.16666666666667,19.75,74.16666666666667,47.5,0.0,0.75,17.25,23.5,13.0,78.5,20.0,80.0,44.5,0.0,0.0,17.5,18.0,10.0,68.0,16.0,54.0,38.0,0.0,0.0,0.0
581,US-WI_2018,27.0,16.0,90.0,25.0,83.0,56.0,0.0,13.0,39.0,22.333333333333332,13.333333333333334,84.75,20.75,73.58333333333333,47.166666666666664,0.0,7.416666666666667,29.416666666666668,23.0,13.0,85.0,20.5,75.5,47.5,0.0,9.0,30.0,16.0,11.0,78.0,17.0,57.0,37.0,0.0,0.0,19.0
582,US-WI_2019,30.0,17.0,100.0,23.0,99.0,52.0,0.0,17.0,67.0,24.416666666666668,14.166666666666666,87.66666666666667,20.416666666666668,74.66666666666667,44.666666666666664,0.0,10.916666666666666,50.75,24.5,14.5,87.5,21.5,76.5,44.5,0.0,11.5,50.5,19.0,12.0,75.0,17.0,56.0,35.0,0.0,0.0,38.0
583,US-WI_2020,31.0,16.0,88.0,22.0,84.0,64.0,0.0,18.0,69.0,25.083333333333332,13.583333333333334,81.83333333333333,19.416666666666668,67.91666666666667,48.5,0.0,9.666666666666666,53.583333333333336,24.5,13.5,83.0,19.5,64.5,47.5,0.0,10.0,60.0,20.0,12.0,73.0,17.0,58.0,34.0,0.0,0.0,23.0
584,US-WI_2021,44.0,16.0,95.0,22.0,67.0,68.0,9.0,22.0,100.0,35.75,13.583333333333334,87.91666666666667,19.0,57.25,54.666666666666664,1.5,15.25,81.66666666666667,35.5,13.0,88.5,19.0,58.0,53.0,0.0,14.5,80.0,29.0,12.0,77.0,16.0,48.0,43.0,0.0,11.0,68.0
585,US-WI_2022,54.0,17.0,97.0,25.0,78.0,76.0,0.0,18.0,92.0,46.333333333333336,13.75,85.58333333333333,20.916666666666668,62.0,63.666666666666664,0.0,13.416666666666666,79.66666666666667,45.5,14.0,84.5,21.0,60.5,65.5,0.0,13.5,79.0,40.0,11.0,78.0,17.0,50.0,48.0,0.0,7.0,70.0
586,US-WI_2023,63.0,16.0,95.0,23.0,73.0,68.0,0.0,18.0,86.0,56.166666666666664,13.583333333333334,86.41666666666667,19.666666666666668,59.333333333333336,61.75,0.0,13.416666666666666,74.16666666666667,56.5,13.5,84.0,19.0,59.5,62.0,0.0,13.0,77.0,49.0,11.0,80.0,16.0,45.0,50.0,0.0,8.0,59.0
587,US-WI_2024,64.0,17.0,100.0,21.0,70.0,66.0,1.0,13.0,72.0,55.63636363636363,13.909090909090908,87.72727272727273,19.0,54.81818181818182,56.54545454545455,0.09090909090909091,3.727272727272727,65.0,54.0,14.0,85.0,19.0,57.0,56.0,0.0,0.0,67.0,50.0,12.0,80.0,17.0,42.0,51.0,0.0,0.0,54.0
588,US-WV_2013,28.0,12.0,57.0,26.0,78.0,58.0,0.0,0.0,67.0,20.583333333333332,10.0,51.416666666666664,22.416666666666668,63.333333333333336,25.333333333333332,0.0,0.0,5.583333333333333,20.0,10.0,51.5,22.5,65.5,21.5,0.0,0.0,0.0,14.0,8.0,45.0,20.0,49.0,0.0,0.0,0.0,0.0
589,US-WV_2014,25.0,14.0,64.0,28.0,100.0,64.0,0.0,0.0,0.0,20.5,9.916666666666666,55.5,22.5,68.75,27.583333333333332,0.0,0.0,0.0,19.0,9.0,55.5,22.0,71.0,33.5,0.0,0.0,0.0,17.0,7.0,49.0,20.0,49.0,0.0,0.0,0.0,0.0
590,US-WV_2015,27.0,16.0,75.0,26.0,91.0,75.0,0.0,0.0,0.0,22.0,13.083333333333334,64.41666666666667,22.416666666666668,74.41666666666667,35.833333333333336,0.0,0.0,0.0,22.5,13.5,64.5,23.0,72.5,46.5,0.0,0.0,0.0,17.0,8.0,55.0,18.0,57.0,0.0,0.0,0.0,0.0
591,US-WV_2016,25.0,21.0,79.0,27.0,87.0,61.0,0.0,41.0,0.0,20.583333333333332,13.25,70.58333333333333,21.166666666666668,71.33333333333333,43.0,0.0,3.4166666666666665,0.0,21.0,12.5,70.5,21.5,74.0,43.5,0.0,0.0,0.0,16.0,10.0,63.0,17.0,53.0,0.0,0.0,0.0,0.0
592,US-WV_2017,26.0,16.0,85.0,25.0,85.0,61.0,0.0,36.0,31.0,21.833333333333332,12.416666666666666,74.83333333333333,21.25,72.83333333333333,44.75,0.0,3.0,7.583333333333333,22.5,12.0,73.5,22.0,74.5,44.0,0.0,0.0,0.0,16.0,8.0,69.0,17.0,56.0,25.0,0.0,0.0,0.0
593,US-WV_2018,28.0,15.0,87.0,26.0,88.0,48.0,0.0,0.0,41.0,22.25,12.75,79.91666666666667,22.75,73.0,37.416666666666664,0.0,0.0,28.833333333333332,21.0,12.5,79.5,23.0,73.5,39.0,0.0,0.0,30.5,16.0,11.0,74.0,20.0,64.0,25.0,0.0,0.0,0.0
594,US-WV_2019,30.0,17.0,93.0,28.0,83.0,61.0,0.0,0.0,70.0,23.916666666666668,14.083333333333334,82.83333333333333,22.75,71.41666666666667,41.333333333333336,0.0,0.0,54.333333333333336,22.5,13.5,83.0,22.5,73.0,40.5,0.0,0.0,53.0,20.0,10.0,72.0,18.0,56.0,27.0,0.0,0.0,41.0
